date,Flow Duration,Tot Fwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Mean,Bwd Pkt Len Mean,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd IAT Tot,Fwd IAT Mean,Fwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Mean,Pkt Len Var,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Byts,Fwd Act Data Pkts,Active Mean,Idle Mean
2022/10/27 5:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/27 6:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/27 7:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/27 8:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/27 9:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/27 10:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/27 11:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/27 12:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/27 13:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/27 14:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/27 15:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/27 16:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/27 17:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/27 18:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/27 19:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/27 20:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/27 21:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/27 22:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/27 23:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 0:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 1:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 2:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 3:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 4:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 5:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 6:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 7:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 8:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 9:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 10:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 11:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 12:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 13:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 14:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 15:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 16:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 17:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 18:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 19:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 20:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 21:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 22:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/28 23:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 0:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 1:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 2:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 3:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 4:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 5:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 6:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 7:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 8:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 9:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 10:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 11:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 12:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 13:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 14:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 15:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 16:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 17:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 18:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 19:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 20:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 21:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 22:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/29 23:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/30 0:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/30 1:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/30 2:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/30 3:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/30 4:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/30 5:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/30 6:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/30 7:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/30 8:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/30 9:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/30 10:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/30 11:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/30 12:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/30 13:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/30 14:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/30 15:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/30 16:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/30 17:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
2022/10/30 18:00,69445384.91,153.410058,77198.7234,329.6266925,331.6569064,329.6266925,11034.0019,109.7735379,2879697.785,67137987.47,2904844.51,1211.775629,99.27246302,10.50107484,330.74933,1498.079347,423.7298442,331.6569064,329.6266925,153.410058,77198.7234,329.6266925,151.4719536,486038.7647,7811107.099
